Site,HE,TN,TS,day.TS,night.TS
5AJB01,0,50,0,0,0
5AJB02,0,51,0,0,0
5AJB03,5,50,0.1,0.1,0
5AJB04,2,46,0.04347826,0.04347826,0
5AJB05,0,49,0,0,0
5AJB06,0,49,0,0,0
5AJB07,1,48,0.02083333,0.02083333,0
5AJB08,1,51,0.01960784,0.01960784,0
5AJB09,2,50,0.04,0.04,0
5AJB10,0,51,0,0,0
5AJB11,4,51,0.07843137,0.07843137,0
5AJB12,2,51,0.03921569,0.03921569,0
5AJB13,1,49,0.02040816,0.02040816,0
5AJB14,4,50,0.08,0.08,0
5AJB15,67,54,1.24074074,1.148148,0.09259259
5AJB16,1,50,0.02,0.02,0
5AJB17,1,53,0.01886792,0.01886792,0
5AJB18,0,51,0,0,0
5AJB19,0,49,0,0,0
5AJB20,0,50,0,0,0
5AJB21,0,50,0,0,0
5AJB22,2,45,0.04444444,0.04444444,0
5AJB23,0,50,0,0,0
5AJB24,1,50,0.02,0.02,0
