Site,HE,TN,TS,day.TS,night.TS
AJB01,0,71,0,0,0
AJB02,1,70,0.01428571,0.01428571,0
AJB03,0,70,0,0,0
AJB04,4,70,0.05714286,0.05714286,0
AJB05,0,69,0,0,0
AJB06,0,63,0,0,0
AJB07,3,68,0.04411765,0.04411765,0
AJB08,0,65,0,0,0
AJB09,0,66,0,0,0
AJB10,0,64,0,0,0
AJB11,0,68,0,0,0
AJB12,0,68,0,0,0
AJB13,0,68,0,0,0
AJB14,0,66,0,0,0
AJB15,29,65,0.44615385,0.4153846,0.03076923
AJB16,0,65,0,0,0
AJB17,0,52,0,0,0
AJB18,0,64,0,0,0
AJB19,0,61,0,0,0
AJB20,0,62,0,0,0
AJB21,NA,NA,NA,NA,NA
AJB22,NA,NA,NA,NA,NA
AJB23,NA,NA,NA,NA,NA
AJB24,NA,NA,NA,NA,NA
