"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9","Occ_10","Occ_11","Occ_12","Occ_13","Occ_14"
"3AJB01",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB02",1,1,1,1,1,1,1,2,1,1,1,NA,NA,NA
"3AJB03",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB04",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB05",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB06",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB07",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB08",1,1,1,3,1,1,NA,NA,NA,1,1,NA,NA,NA
"3AJB09",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3AJB10",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB11",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB12",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"3AJB13",1,2,1,1,1,1,3,1,1,1,1,NA,NA,NA
"3AJB14",1,1,2,3,1,1,1,3,1,1,1,NA,NA,NA
"3AJB15",1,1,1,1,1,1,1,1,1,2,1,NA,NA,NA
"3AJB16",1,1,1,1,1,1,1,3,4,1,3,NA,NA,NA
"3AJB17",1,1,1,1,1,1,1,1,NA,1,1,NA,NA,NA
"3AJB18",1,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"3AJB19",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"3AJB20",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"3AJB21",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"3AJB22",3,1,1,1,1,1,3,3,1,3,1,NA,NA,NA
"3AJB23",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"3AJB24",1,1,1,1,3,1,1,1,1,1,1,1,NA,NA
