Site,Occ 1,Occ 2,Occ 3,Occ 4,Occ 5,Occ 6,Occ 7,Occ 8,Occ 9,Occ 10,Occ 11,Occ 12,Occ 13,Occ 14
AJB 1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
AJB 2,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
AJB 3,1,1,1,1,1,1,1,1,1,1,1,3,1,1
AJB 4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AJB 5,1,1,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA
AJB 6,1,1,2,1,1,1,1,1,1,1,1,1,1,NA
AJB 7,1,1,2,3,4,1,1,1,1,3,1,1,1,NA
AJB 8,3,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
AJB 9,1,1,1,1,3,1,1,1,1,NA,NA,NA,NA,NA
AJB 10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AJB 11,1,1,1,2,1,1,1,1,1,1,1,1,NA,NA
AJB 12,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA
AJB 13,1,1,1,1,1,1,1,1,1,3,1,1,2,NA
AJB 14,1,1,1,3,1,1,1,1,1,1,1,1,1,1
AJB 15,3,1,1,1,3,3,1,1,1,3,1,1,1,NA
AJB 16,1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
AJB 17,1,1,1,3,1,1,1,1,NA,1,1,NA,NA,NA
AJB 18,1,1,1,3,1,1,1,1,1,1,1,1,1,NA
AJB 19,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA
AJB 20,1,2,1,1,1,1,1,1,1,1,1,1,1,NA
AJB 21,1,1,1,1,3,1,1,NA,NA,1,1,1,1,1
AJB 22,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
AJB 23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AJB 24,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
