Site,HE,TN,TS,day.TS,night.TS,mean.TS
AJB 01,1,61,0.016393443,0.016393443,0,0.032786885
AJB 02,0,20,0,0,0,0
AJB 03,3,61,0.049180328,0.049180328,0,0.06557377
AJB 04,2,57,0.035087719,0.035087719,0,0.052631579
AJB 05,0,61,0,0,0,0
AJB 06,0,30,0,0,0,0
AJB 07,3,62,0.048387097,0.048387097,0,0.064516129
AJB 08,0,62,0,0,0,0
AJB 09,0,43,0,0,0,0
AJB 10,0,41,0,0,0,0
AJB 11,0,50,0,0,0,0
AJB 12,0,62,0,0,0,0
AJB 13,2,62,0.032258065,0.032258065,0.016129032,0.048387097
AJB 14,0,27,0,0,0,0
AJB 15,5,60,0.083333333,0.083333333,0,0.1
AJB 16,1,54,0.018518519,0.018518519,0,0.018518519
AJB 17,0,60,0,0,0,0
AJB 18,0,60,0,0,0,0
AJB 19,0,54,0,0,0,0
AJB 20,0,40,0,0,0,0
AJB 21,0,60,0,0,0,0
AJB 22,0,59,0,0,0,0
AJB 23,0,50,0,0,0,0
AJB 24,0,11,0,0,0,0
