"Site","Season","Species","Datetime"
"D02-BMT2","JU16","Coyote",2016-07-04 03:44:07
"D02-BMT2","JU16","Coyote",2016-07-04 03:44:54
"D02-JBS1","JU16","Coyote",2016-07-01 04:37:06
"D02-JBS1","JU16","Coyote",2016-07-01 04:37:06
"D02-JBS1","JU16","Coyote",2016-07-01 05:33:12
"D02-JBS1","JU16","Coyote",2016-07-01 20:33:14
"D02-JBS1","JU16","Coyote",2016-07-01 20:33:14
"D02-JBS1","JU16","Coyote",2016-07-14 09:50:39
"D02-JBS1","JU16","Coyote",2016-07-14 09:50:39
"D02-JBS1","JU16","Coyote",2016-07-14 09:52:35
"D02-JBS1","JU16","Coyote",2016-07-14 09:52:35
"D02-JBS1","JU16","Coyote",2016-07-14 09:53:59
"D02-JBS1","JU16","Coyote",2016-07-14 09:53:59
"D02-JBS1","JU16","Coyote",2016-07-14 10:32:04
"D02-JBS1","JU16","Coyote",2016-07-14 10:32:04
"D02-JBS1","JU16","Coyote",2016-07-14 10:32:35
"D02-JBS1","JU16","Coyote",2016-07-14 10:32:35
"D02-JBS1","JU16","Coyote",2016-07-14 10:33:22
"D02-JBS1","JU16","Coyote",2016-07-14 10:33:22
"D02-JBS1","JU16","Coyote",2016-07-14 10:33:55
"D02-JBS1","JU16","Coyote",2016-07-14 10:33:55
"D02-JBS1","JU16","Coyote",2016-07-14 11:21:02
"D02-JBS1","JU16","Coyote",2016-07-14 11:21:02
"D02-JBS1","JU16","Coyote",2016-07-21 15:27:15
"D02-JBS1","JU16","Coyote",2016-07-21 15:27:15
"D02-JBS1","JU16","Coyote",2016-07-21 15:27:53
"D02-JBS1","JU16","Coyote",2016-07-21 15:27:53
"D02-JBS1","JU16","Coyote",2016-07-22 12:00:02
"D02-JBS1","JU16","Coyote",2016-07-22 12:00:02
"D02-JBS1","JU16","Coyote",2016-07-22 22:15:03
"D02-JBS1","JU16","Coyote",2016-07-22 22:15:03
"D02-JBS1","JU16","Coyote",2016-07-23 04:57:30
"D02-JBS1","JU16","Coyote",2016-07-23 04:57:30
"D02-JBS1","JU16","Coyote",2016-07-23 04:59:52
"D02-JBS1","JU16","Coyote",2016-07-23 04:59:52
"D02-JBS1","JU16","Coyote",2016-07-23 05:00:24
"D02-JBS1","JU16","Coyote",2016-07-23 05:00:24
"D02-JBS1","JU16","Coyote",2016-07-23 05:01:06
"D02-JBS1","JU16","Coyote",2016-07-23 05:01:06
"D02-JBS1","JU16","Coyote",2016-07-23 05:03:12
"D02-JBS1","JU16","Coyote",2016-07-23 05:03:12
"D02-RCP1","JU16","Coyote",2016-07-22 01:25:04
"D02-RCP1","JU16","Coyote",2016-07-22 01:25:04
"D02-RCP1","JU16","Coyote",2016-07-22 02:01:35
"D02-RCP1","JU16","Coyote",2016-07-22 04:22:47
"D02-RCP1","JU16","Coyote",2016-07-22 04:22:47
"D02-RCP1","JU16","Coyote",2016-07-22 04:56:50
"D02-RCP1","JU16","Coyote",2016-07-22 04:56:50
"D02-RCP1","JU16","Coyote",2016-07-22 05:50:03
"D02-RCP1","JU16","Coyote",2016-07-22 05:50:03
"D02-RCP1","JU16","Coyote",2016-07-23 00:56:28
"D02-RCP1","JU16","Coyote",2016-07-23 00:56:28
"D02-RCP1","JU16","Coyote",2016-07-23 03:21:06
"D02-RCP1","JU16","Coyote",2016-07-23 03:21:06
"D02-RCP1","JU16","Coyote",2016-07-23 23:09:41
"D02-RCP1","JU16","Coyote",2016-07-24 21:49:59
"D02-RCP1","JU16","Coyote",2016-07-24 21:49:59
"D03-STB1","JU16","Coyote",2016-07-11 01:35:45
"D03-STB1","JU16","Coyote",2016-07-11 01:35:45
"D03-STB1","JU16","Coyote",2016-07-14 02:09:54
"D03-STB1","JU16","Coyote",2016-07-14 02:09:54
"D03-STB1","JU16","Coyote",2016-07-14 02:10:35
"D03-STB1","JU16","Coyote",2016-07-14 02:10:35
"D03-STB1","JU16","Coyote",2016-07-14 02:13:46
"D03-STB1","JU16","Coyote",2016-07-14 02:13:46
"D03-STB1","JU16","Coyote",2016-07-16 20:08:29
"D03-STB1","JU16","Coyote",2016-07-16 20:08:29
"D03-STB1","JU16","Coyote",2016-07-19 07:17:03
"D03-STB1","JU16","Coyote",2016-07-19 07:17:03
"D03-STB1","JU16","Coyote",2016-07-19 23:20:11
"D05-ADC1","JU16","Coyote",2016-07-08 05:42:29
"D05-ADC1","JU16","Coyote",2016-07-08 05:42:29
"D05-MIA1","JU16","Coyote",2016-07-22 14:05:42
"D05-MIA1","JU16","Coyote",2016-07-22 14:05:42
"D08-CCC1","JU16","Coyote",2016-07-01 04:03:31
"D08-DAW0","JU16","Coyote",2016-07-25 07:51:51
"D08-DAW0","JU16","Coyote",2016-07-25 07:51:51
"D08-DAW2","JU16","Coyote",2016-06-27 23:44:00
"D08-DAW2","JU16","Coyote",2016-06-28 19:37:13
"D08-DAW2","JU16","Coyote",2016-07-04 01:16:48
"D08-DAW2","JU16","Coyote",2016-07-19 01:57:05
"D08-DAW2","JU16","Coyote",2016-07-19 01:57:33
"D09-CLG0","JU16","Coyote",2016-07-02 23:37:58
"D09-CLG0","JU16","Coyote",2016-07-02 23:37:58
"D10-CAN0","JU16","Coyote",2016-07-09 22:22:43
