"Site","Season","lat","Long","Start","Week_01","Week_02","Week_03","Week_04","Week_05","Week_06","Week_07","Week_08"
"C04-MBP1","JU16",41.71308499,-87.57339472,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05-BEA1","JU16",41.65419878,-87.58721191,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05-BMP1","JU16",41.69479206,-87.57510693,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05-BMP2","JU16",41.6857457,-87.56486107,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C05-EGG1","JU16",41.68809924,-87.52634943,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06-BEA2","JU16",41.64524646,-87.58174014,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C06-HMP1","JU16",41.65680784,-87.56991671,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D02-BMT1","JU16",41.91433602,-87.66977928,2016-06-27,1,1,1,NA,NA,NA,NA,NA
"D02-HUP0","JU16",41.90585734,-87.69904915,2016-06-27,NA,NA,NA,NA,NA,NA,NA,NA
"D02-JBS1","JU16",41.94889355,-87.6399905,2016-06-27,4,1,2,4,1,NA,NA,NA
"D02-MDU1","JU16",41.96478369,-87.6330656,2016-06-27,NA,NA,NA,NA,NA,NA,NA,NA
"D02-MOP1","JU16",41.91858492,-87.72430748,2016-06-27,1,NA,1,1,NA,NA,NA,NA
"D02-RCP1","JU16",41.94109499,-87.69329358,2016-06-27,1,1,1,4,1,NA,NA,NA
"D02-SCP1","JU16",41.92296839,-87.68589743,2016-06-27,1,1,1,1,1,NA,NA,NA
"D03-AFP1","JU16",41.94666256,-87.71652991,2016-06-27,1,1,1,1,1,NA,NA,NA
"D03-AMP1","JU16",41.96850882,-87.7482015,2016-06-27,1,1,1,1,1,NA,NA,NA
"D03-CHP1","JU16",41.94245857,-87.76234923,2016-06-27,1,1,1,1,1,NA,NA,NA
"D03-GOM1","JU16",41.97527786,-87.73063446,2016-06-27,NA,NA,1,1,1,NA,NA,NA
"D03-NPV1","JU16",41.98593826,-87.72834195,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D03-STB1","JU16",41.96962066,-87.66563918,2016-06-27,1,1,4,4,NA,NA,NA,NA
"D04-DNP1","JU16",41.96512952,-87.78423327,2016-06-27,1,1,1,1,1,NA,NA,NA
"D04-EDW0","JU16",41.99098007,-87.7646423,2016-06-27,1,1,1,1,1,NA,NA,NA
"D04-RDP1","JU16",41.98961368,-87.78559613,2016-06-27,1,1,1,1,1,NA,NA,NA
"D04-ROS0","JU16",41.98771934,-87.68932042,2016-06-27,1,1,1,1,1,NA,NA,NA
"D05-BRP1","JU16",42.00945005,-87.80710669,2016-06-27,1,1,1,1,1,NA,NA,NA
"D05-MIA1","JU16",42.02421505,-87.79567324,2016-06-27,1,1,1,2,1,NA,NA,NA
"D05-PRC1","JU16",42.02154012,-87.8318759,2016-06-27,1,1,1,1,1,NA,NA,NA
"D06-KCG1","JU16",42.07983052,-87.85328609,2016-06-27,1,1,1,1,1,NA,NA,NA
"D07-ASC0","JU16",42.05985363,-87.88662949,2016-06-27,1,1,1,1,1,NA,NA,NA
"D07-NOC1","JU16",42.09431792,-87.87945486,2016-06-27,NA,NA,1,1,1,NA,NA,NA
"D08-CCC1","JU16",42.15870422,-87.92248236,2016-06-27,3,1,1,1,1,NA,NA,NA
"D08-DAW0","JU16",42.12577912,-87.89377889,2016-06-27,1,1,1,1,2,NA,NA,NA
"D08-DAW2","JU16",42.13530185,-87.90145123,2016-06-27,4,3,1,3,1,NA,NA,NA
"D09-CLG0","JU16",42.187657685,-87.9176414,2016-06-27,3,NA,NA,NA,NA,NA,NA,NA
"D09-RYW1","JU16",42.1775919,-87.90419482,2016-06-27,1,1,1,1,1,NA,NA,NA
"D09-VTC1","JU16",42.20377534,-87.9292671,2016-06-27,1,1,1,1,1,NA,NA,NA
"D10-CAN0","JU16",42.24007189,-87.93847762,2016-06-27,1,3,1,1,1,NA,NA,NA
"D10-MAC1","JU16",42.25476444,-87.92753011,2016-06-27,1,1,1,1,1,NA,NA,NA
"D10-VHC1","JU16",42.22265299,-87.94735573,2016-06-27,4,2,1,1,2,NA,NA,NA
