Station,Occ_1,Occ_2,Occ_3,Occ_4,Occ_5,Occ_6,Occ_7,Occ_8,Occ_9,Occ_10,Occ_11,Occ_12,Occ_13,Occ_14
2MGB01,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
2MGB02,1,3,1,1,1,1,3,1,NA,NA,NA,NA,NA,NA
2MGB03,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
2MGB04,1,1,3,3,1,1,1,1,NA,NA,NA,NA,NA,NA
2MGB05,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA,NA
2MGB06,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA,NA
2MGB07,1,3,1,3,1,1,1,1,1,NA,NA,NA,NA,NA
2MGB08,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
2MGB09,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA
2MGB10,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
2MGB11,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
2MGB12,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
2MGB13,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
2MGB14,1,1,3,3,NA,1,1,1,NA,NA,NA,NA,NA,NA
2MGB15,1,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA
2MGB16,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2MGB17,1,1,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA
2MGB18,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2MGB19,1,1,2,1,1,3,1,1,1,NA,NA,NA,NA,NA
2MGB20,1,1,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
2MGB21,1,4,3,2,1,1,1,1,1,NA,NA,NA,NA,NA
2MGB22,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
2MGB23,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA
2MGB24,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
