Site,HE,TN,TS,day.TS,night.TS
4AJB01,1,76,0.01315789,0.01315789,0
4AJB02,0,72,0,0,0
4AJB03,2,72,0.02777778,0.02777778,0
4AJB04,1,76,0.01315789,0.01315789,0
4AJB05,0,33,0,0,0
4AJB06,0,72,0,0,0
4AJB07,2,75,0.02666667,0.02666667,0
4AJB08,0,64,0,0,0
4AJB09,0,50,0,0,0
4AJB10,0,74,0,0,0
4AJB11,0,68,0,0,0
4AJB12,0,64,0,0,0
4AJB13,0,69,0,0,0
4AJB14,6,68,0.08823529,0.08823529,0
4AJB15,18,75,0.24,0.24,0
4AJB16,0,45,0,0,0
4AJB17,0,54,0,0,0
4AJB18,0,63,0,0,0
4AJB19,0,63,0,0,0
4AJB20,0,68,0,0,0
4AJB21,0,55,0,0,0
4AJB22,0,64,0,0,0
4AJB23,0,72,0,0,0
4AJB24,0,44,0,0,0
