"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9","Occ_10","Occ_11","Occ_12","Occ_13","Occ_14"
"5AJB01",1,3,3,1,3,3,1,3,1,NA,NA,NA,NA,NA
"5AJB02",1,1,1,1,3,2,1,3,1,NA,NA,NA,NA,NA
"5AJB03",1,1,1,1,4,1,1,1,1,NA,NA,NA,NA,NA
"5AJB04",1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"5AJB05",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB06",1,1,1,1,1,1,1,3,1,NA,NA,NA,NA,NA
"5AJB07",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB08",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB09",1,1,1,1,1,1,2,3,1,NA,NA,NA,NA,NA
"5AJB10",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB11",1,1,1,1,1,1,3,1,1,NA,NA,NA,NA,NA
"5AJB12",1,1,1,1,1,1,1,3,3,NA,NA,NA,NA,NA
"5AJB13",1,1,3,3,1,1,1,3,1,NA,NA,NA,NA,NA
"5AJB14",1,1,1,2,1,4,1,3,3,NA,NA,NA,NA,NA
"5AJB15",1,1,3,1,1,1,3,1,3,NA,NA,NA,NA,NA
"5AJB16",1,3,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB17",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB18",1,1,1,1,1,1,3,1,2,NA,NA,NA,NA,NA
"5AJB19",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB20",3,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB21",1,3,1,2,3,1,1,1,1,NA,NA,NA,NA,NA
"5AJB22",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"5AJB23",1,2,1,1,4,1,3,1,1,NA,NA,NA,NA,NA
"5AJB24",1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA
