"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9","Occ_10","Occ_11","Occ_12","Occ_13","Occ_14"
"FRK01",1,1,3,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK02",1,1,3,1,1,1,3,1,NA,1,1,NA,NA,NA
"FRK03",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK04",1,1,1,3,1,3,1,1,1,3,1,NA,NA,NA
"FRK05",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK06",1,1,1,1,1,1,1,3,1,1,1,NA,NA,NA
"FRK07",1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA
"FRK08",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK09",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK10",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK11",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK12",1,1,1,1,1,1,1,NA,1,1,1,NA,NA,NA
"FRK13",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK14",1,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK15",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK16",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK17",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK18",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK19",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK20",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK21",1,1,1,1,1,1,2,3,1,1,1,NA,NA,NA
"FRK22",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"FRK23",1,3,1,1,1,1,1,1,1,1,3,NA,NA,NA
