"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9"
"3MGB01",1,1,2,1,1,3,3,3,1
"3MGB02",3,2,1,2,1,1,1,3,1
"3MGB03",1,1,1,1,1,1,1,1,1
"3MGB04",1,1,1,1,1,1,3,1,1
"3MGB05",1,1,1,1,1,1,1,1,1
"3MGB06",1,1,3,1,3,1,1,1,1
"3MGB07",1,1,1,3,1,1,1,1,1
"3MGB08",3,1,1,1,1,1,1,1,1
"3MGB09",1,1,1,1,1,3,1,1,3
"3MGB10",1,1,1,1,1,1,1,3,1
"3MGB11",1,1,1,2,1,1,1,NA,NA
"3MGB12",1,1,1,1,1,1,1,3,2
"3MGB13",1,1,1,1,1,1,1,1,1
"3MGB14",1,1,1,1,1,1,1,2,1
"3MGB15",1,1,1,1,1,1,2,1,1
"3MGB16",1,1,1,1,1,1,1,1,1
"3MGB17",1,1,1,1,1,3,1,2,1
"3MGB18",1,1,1,1,1,1,1,1,1
"3MGB19",1,1,1,1,1,2,3,2,1
"3MGB20",1,1,3,1,4,3,1,1,1
"3MGB21",3,1,1,1,1,2,1,1,1
"3MGB22",1,1,1,1,3,1,1,1,1
"3MGB23",2,2,2,1,1,1,1,3,1
"3MGB24",1,2,2,1,1,1,1,1,1
