Station,Occ_1,Occ_2,Occ_3,Occ_4,Occ_5,Occ_6,Occ_7,Occ_8,Occ_9,Occ_10,Occ_11,Occ_12,Occ_13,Occ_14
SLJ01,4,1,3,1,1,3,1,1,1,1,1,1,NA,NA
SLJ02,1,3,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ03,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ04,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ05,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ06,1,1,1,1,1,1,1,1,2,1,1,1,NA,NA
SLJ07,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ08,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
SLJ09,1,1,1,1,1,1,3,1,1,1,1,1,NA,NA
SLJ10,4,3,4,3,1,3,3,1,3,1,3,1,NA,NA
SLJ11,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA
SLJ12,2,1,2,1,1,1,1,1,1,2,1,1,NA,NA
SLJ13,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ14,1,1,3,1,1,3,1,1,1,1,1,1,NA,NA
SLJ15,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA
SLJ16,1,1,1,1,1,1,1,1,1,1,3,NA,NA,NA
SLJ17,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
SLJ18,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
SLJ19,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ20,1,3,1,1,1,1,1,1,1,1,3,1,NA,NA
SLJ21,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ22,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ23,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
SLJ24,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA
