"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9","Occ_10","Occ_11","Occ_12","Occ_13","Occ_14"
"SOA01",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA02",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA03",1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"SOA04",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA05",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA06",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA07",1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
"SOA08",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA09",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA10",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA11",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA12",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA13",1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"SOA14",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"SOA15",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"SOA16",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"SOA17",1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"SOA18",1,2,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"SOA19",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"SOA20",NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
