Site,HE,TN,TS,day.TS,night.TS
FRK01,9,62,0.14516129,0.09677419,0.0483871
FRK02,8,57,0.14035088,0.122807,0.01754386
FRK03,56,66,0.84848485,0.8181818,0.03030303
FRK04,1,66,0.01515152,0.01515152,0
FRK05,2,64,0.03125,0.015625,0.015625
FRK06,39,65,0.6,0.5846154,0.01538462
FRK07,7,66,0.10606061,0.1060606,0
FRK08,96,66,1.45454545,1.242424,0.2121212
FRK09,2,65,0.03076923,0.03076923,0
FRK10,0,65,0,0,0
FRK11,2,65,0.03076923,0.03076923,0
FRK12,94,59,1.59322034,1.508475,0.08474576
FRK13,368,65,5.66153846,5.369231,0.2923077
FRK14,17,53,0.32075472,0.3207547,0
FRK15,3,65,0.04615385,0.04615385,0
FRK16,3,64,0.046875,0.046875,0
FRK17,7,64,0.109375,0.109375,0
FRK18,9,64,0.140625,0.140625,0
FRK19,1,64,0.015625,0.015625,0
FRK20,127,64,1.984375,1.953125,0.03125
FRK21,7,64,0.109375,0.109375,0
FRK22,8,65,0.12307692,0.1230769,0
FRK23,43,64,0.671875,0.671875,0
