Station,Occ_1,Occ_2,Occ_3,Occ_4,Occ_5,Occ_6,Occ_7,Occ_8,Occ_9,Occ_10,Occ_11,Occ_12,Occ_13,Occ_14
LKT01,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
LKT02,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
LKT03,1,1,3,1,1,1,1,1,1,1,2,1,NA,NA
LKT04,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
LKT05,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
LKT06,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKT07,1,1,1,1,1,1,1,1,1,3,1,1,NA,NA
LKT08,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
LKT09,1,1,3,1,1,1,1,1,1,1,1,1,NA,NA
LKT10,1,1,1,1,2,1,1,1,1,1,1,1,NA,NA
LKT11,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
LKT12,1,1,1,1,1,1,1,1,1,1,2,1,NA,NA
LKT13,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
LKT14,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
LKT15,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
LKT18,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
