Site,HE,TN,TS,day.TS,night.TS
MGB01,46,56,0.82142857,0.7857143,0.03571429
MGB02,113,64,1.765625,1.71875,0.046875
MGB03,131,64,2.046875,2.015625,0.03125
MGB04,161,64,2.515625,2.46875,0.046875
MGB05,178,64,2.78125,2.75,0.03125
MGB06,14,63,0.22222222,0.2222222,0
MGB07,105,62,1.69354839,1.645161,0.0483871
MGB08,114,61,1.86885246,1.852459,0.01639344
MGB09,8,62,0.12903226,0.1290323,0
MGB10,14,64,0.21875,0.21875,0
MGB11,123,64,1.921875,1.875,0.046875
MGB12,102,64,1.59375,1.59375,0
MGB13,64,64,1,0.953125,0.046875
MGB14,50,64,0.78125,0.765625,0.015625
MGB15,86,63,1.36507937,1.349206,0.01587302
MGB16,71,63,1.12698413,1.095238,0.03174603
MGB17,0,63,0,0,0
MGB18,8,62,0.12903226,0.1129032,0.01612903
MGB19,4,62,0.06451613,0.06451613,0
MGB20,7,62,0.11290323,0.1129032,0
MGB21,6,62,0.09677419,0.09677419,0
MGB22,5,64,0.078125,0.078125,0
MGB23,10,64,0.15625,0.15625,0
MGB24,7,64,0.109375,0.109375,0
