"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9","Occ_10","Occ_11","Occ_12","Occ_13","Occ_14"
"MGB01",1,3,1,1,1,1,1,1,2,2,1,NA,NA,NA
"MGB02",1,1,1,1,1,1,1,1,3,3,3,NA,NA,NA
"MGB03",1,1,3,2,1,1,3,3,1,1,1,NA,NA,NA
"MGB04",3,1,1,1,1,1,1,1,3,3,1,NA,NA,NA
"MGB05",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"MGB06",1,1,1,1,1,1,4,3,3,4,1,NA,NA,NA
"MGB07",1,1,1,1,1,2,1,3,2,1,3,NA,NA,NA
"MGB08",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"MGB09",1,3,1,3,2,1,1,1,1,3,1,NA,NA,NA
"MGB10",1,1,4,1,1,1,1,1,1,1,1,NA,NA,NA
"MGB11",1,1,1,1,2,1,1,1,1,2,1,NA,NA,NA
"MGB12",3,1,3,3,2,4,1,1,2,3,1,NA,NA,NA
"MGB13",1,1,2,1,1,1,3,3,1,3,1,NA,NA,NA
"MGB14",2,1,1,1,1,1,3,1,3,1,2,NA,NA,NA
"MGB15",1,1,1,1,1,1,1,1,2,1,1,NA,NA,NA
"MGB16",1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"MGB17",3,1,1,1,3,3,3,1,2,3,1,NA,NA,NA
"MGB18",1,1,1,1,3,1,1,3,3,1,1,NA,NA,NA
"MGB19",1,1,2,1,3,3,3,4,3,1,1,NA,NA,NA
"MGB20",1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA
"MGB21",1,2,1,1,2,2,3,1,1,1,1,NA,NA,NA
"MGB22",1,4,1,1,1,1,3,1,1,3,1,NA,NA,NA
"MGB23",3,1,1,3,1,1,4,1,3,2,1,NA,NA,NA
"MGB24",1,1,3,3,3,1,1,1,1,3,3,NA,NA,NA
