Site,HE,TN,TS,day.TS,night.TS
SLJ01,297,67,4.43283582,4.343284,0.08955224
SLJ02,57,71,0.8028169,0.7746479,0.02816901
SLJ03,2,71,0.02816901,0.02816901,0
SLJ04,1,66,0.01515152,0.01515152,0
SLJ05,0,71,0,0,0
SLJ06,98,71,1.38028169,1.352113,0.02816901
SLJ07,222,67,3.31343284,3.134328,0.1791045
SLJ08,40,56,0.71428571,0.7142857,0
SLJ09,259,68,3.80882353,3.735294,0.07352941
SLJ10,16,71,0.22535211,0.2112676,0.01408451
SLJ11,9,70,0.12857143,0.1285714,0
SLJ12,15,62,0.24193548,0.2419355,0
SLJ13,0,53,0,0,0
SLJ14,252,70,3.6,3.385714,0.2142857
SLJ15,2,48,0.04166667,0.04166667,0
SLJ16,12,52,0.23076923,0.2307692,0
SLJ17,48,62,0.77419355,0.7741935,0
SLJ18,1,57,0.01754386,0.01754386,0
SLJ19,17,69,0.24637681,0.2463768,0
SLJ20,6,69,0.08695652,0.08695652,0
SLJ21,5,69,0.07246377,0.07246377,0
SLJ22,94,70,1.34285714,1.271429,0.07142857
SLJ23,2,70,0.02857143,0.02857143,0
SLJ24,15,70,0.21428571,0.2142857,0
