"Station","Occ_1","Occ_2","Occ_3","Occ_4","Occ_5","Occ_6","Occ_7","Occ_8","Occ_9","Occ_10","Occ_11","Occ_12","Occ_13","Occ_14"
"VIN01",1,1,1,3,1,1,1,1,1,1,1,1,NA,NA
"VIN02",1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"VIN03",NA,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA
"VIN04",NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"VIN05",NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
"VIN06",NA,1,1,1,1,1,1,1,3,1,1,1,NA,NA
"VIN07",NA,1,1,1,1,1,1,1,1,1,3,1,NA,NA
"VIN08",NA,1,1,1,3,3,1,1,1,1,1,1,NA,NA
"VIN09",NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"VIN10",1,1,1,1,1,1,1,1,2,1,NA,NA,NA,NA
"VIN11",1,1,1,1,3,1,1,1,1,1,1,1,NA,NA
"VIN12",1,1,1,1,1,1,1,3,1,NA,NA,NA,NA,NA
"VIN13",1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"VIN14",1,1,1,3,1,1,1,1,1,1,1,1,NA,NA
"VIN15",1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA
"VIN16",1,1,1,1,1,1,1,3,1,1,1,3,NA,NA
"VIN17",1,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"VIN18",1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA
"VIN19",NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA
