Site,HE,TN,TS,day.TS,night.TS
VIN01,121,67,1.80597015,1.746269,0.05970149
VIN02,98,67,1.46268657,1.462687,0
VIN03,23,37,0.62162162,0.6216216,0
VIN04,92,60,1.53333333,1.533333,0
VIN05,113,61,1.85245902,1.786885,0.06557377
VIN06,1,61,0.01639344,0.01639344,0
VIN07,3,61,0.04918033,0.04918033,0
VIN08,4,61,0.06557377,0.06557377,0
VIN09,3,51,0.05882353,0.05882353,0
VIN10,2,55,0.03636364,0.03636364,0
VIN11,2,62,0.03225806,0.03225806,0
VIN12,2,49,0.04081633,0.04081633,0
VIN13,8,52,0.15384615,0.1538462,0
VIN14,0,64,0,0,0
VIN15,1,49,0.02040816,0.02040816,0
VIN16,1,64,0.015625,0.015625,0
VIN17,1,52,0.01923077,0.01923077,0
VIN18,1,50,0.02,0.02,0
VIN19,3,44,0.06818182,0.06818182,0
