Site,HE,TN,TS,day.TS,night.TS
6AJB01,1,56,0.01785714,0.01785714,0
6AJB02,1,54,0.01851852,0.01851852,0
6AJB03,1,56,0.01785714,0.01785714,0
6AJB04,5,53,0.09433962,0.09433962,0
6AJB05,0,50,0,0,0
6AJB06,0,52,0,0,0
6AJB07,2,54,0.03703704,0.03703704,0
6AJB08,0,59,0,0,0
6AJB09,2,59,0.03389831,0.03389831,0
6AJB10,3,58,0.05172414,0.05172414,0
6AJB11,1,40,0.025,0.025,0
6AJB12,2,55,0.03636364,0.03636364,0
6AJB13,2,55,0.03636364,0.03636364,0
6AJB14,0,56,0,0,0
6AJB15,72,56,1.28571429,1.267857,0.01785714
6AJB16,2,57,0.03508772,0.03508772,0
6AJB17,7,58,0.12068966,0.1206897,0
6AJB18,0,54,0,0,0
6AJB19,0,54,0,0,0
6AJB20,1,56,0.01785714,0.01785714,0
6AJB21,0,55,0,0,0
6AJB22,2,55,0.03636364,0.03636364,0
6AJB23,0,57,0,0,0
6AJB24,2,57,0.03508772,0.03508772,0
