Station,Occ_1,Occ_2,Occ_3,Occ_4,Occ_5,Occ_6,Occ_7,Occ_8,Occ_9,Occ_10,Occ_11,Occ_12,Occ_13,Occ_14
6AJB01,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB02,3,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB03,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB04,1,1,1,1,1,3,3,1,1,NA,NA,NA,NA,NA
6AJB05,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB06,3,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB07,1,3,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB08,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB09,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB10,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB11,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
6AJB12,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA
6AJB13,1,3,3,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB14,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB15,1,1,1,1,1,1,3,1,1,1,NA,NA,NA,NA
6AJB16,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB17,1,3,1,3,1,1,1,1,1,1,NA,NA,NA,NA
6AJB18,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB19,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB20,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB21,1,4,3,1,1,1,2,1,1,1,NA,NA,NA,NA
6AJB22,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
6AJB23,1,2,1,1,3,4,3,3,2,1,NA,NA,NA,NA
6AJB24,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
