,Occ_1,Occ_2,Occ_3,Occ_4,Occ_5,Occ_6,Occ_7,Occ_8,Occ_9,Occ_10,Occ_11,Occ_12,Occ_13,Occ_14
AJB01,1,1,1,1,1,3,1,1,1,1,1,1,NA,NA
AJB02,1,1,1,1,1,1,1,1,1,1,3,1,NA,NA
AJB03,1,1,1,1,1,1,1,3,1,1,1,1,NA,NA
AJB04,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
AJB05,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
AJB06,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
AJB07,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
AJB08,1,1,1,4,1,1,1,3,1,1,1,1,NA,NA
AJB09,1,1,1,1,1,1,2,1,1,1,1,1,NA,NA
AJB10,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
AJB11,1,1,1,1,1,2,1,1,1,1,1,1,NA,NA
AJB12,3,3,1,3,2,4,3,1,1,1,1,2,NA,NA
AJB13,1,1,1,4,1,4,1,2,1,4,1,2,NA,NA
AJB14,1,1,1,2,1,1,1,3,1,1,1,1,NA,NA
AJB15,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
AJB16,NA,1,1,1,1,1,1,1,1,1,1,1,3,NA
AJB17,NA,1,1,1,1,1,1,1,NA,1,1,1,NA,NA
AJB18,NA,3,3,3,1,3,1,1,1,1,2,1,NA,NA
AJB19,NA,1,2,1,1,1,1,1,1,1,1,1,NA,NA
AJB20,NA,1,1,3,1,1,1,3,1,1,1,1,NA,NA
