Site,Easting,Northing,Distance to closest Town (GIS) (meters),Distance to closest Road (GIS) (metes),Distance Matrix,Dog,Human,Occ1,Occ2,Occ3,Occ4,Occ5,Occ6,Occ7,Occ8,Occ9,Occ10,Occ11,Occ12,Occ13,Occ14,Occ15,Occ16,Occ17,Occ18,Occ19,Occ20,Occ21,Occ22
VATO 1,752133.6729,7644097.528,2977,3500,2105.482128,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
VATO 2,752138.6497,7644420.548,2953,3156,1900.833034,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VATO 3,751240.2083,7644726.549,2886,2650,2201.887013,0,NA,1,1,1,1,1,3,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA
VATO 4,751349.0467,7644109.737,3503,3291,2601.191983,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1
VATO5,751656.7517,7644215.641,3444,3229,2346.353119,0,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,3,1,1,1
VATO6,752062.2437,7643954.001,3076,3977,2255.288408,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1
VATO 7,752464.7501,7643686.241,2734,3958,2079.884025,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1
VATO 8,752704.2033,7643131.734,2716,4324,1824.067143,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,NA,NA,NA,NA,NA
VATO 9,753096.1103,7643113.363,2396,4222,1433.669892,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
VATO 10,752835.7495,7642169.941,3248,5222,1786.122526,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1
VATO 11,752836.0158,7642145.006,3248,5222,1776.673506,0,NA,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
VATO 12,752768.6827,7643939.873,2377,3718,1773.52387,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
VATO 13,755348.2746,7642558.45,1915,3609,25,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
VATO 14,755571.8491,7641911.68,2580,4066,33,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,1,NA,NA,NA,NA,NA
VATO 15,754161.1285,7641919.532,2697,4721,462.3938717,0,NA,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
VATO 16,752639.2555,7644919.262,2488,2744,1211.648953,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
VATO 17,754139.9329,7643012.394,1731,4102,410.624228,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
VATO 18,753221.1873,7645282.33,2043,2227,528.0232479,0,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA
VATO 19,751557.3901,7646241.319,1427,1278,1127.10743,0,NA,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,2,3,3,1,1,1
VATO 20,751928.2838,7645333.148,2405,2246,1285.748186,22.22,NA,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,NA,NA,1
CVB1,752278.946,7646975.478,1270,730,452.5681991,10.5,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB2,752288.5591,7647618.634,779,161,68.27227035,0,NA,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB4,750921.1338,7646681.896,983,595,478.0234636,4,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB5,750641.8344,7646375.725,1376,870,801.337399,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB6,751733.9113,7646983.86,841,851,636.3411666,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB7,751859.1413,7646686.529,1133,1135,841.4881772,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,NA,NA
CVB8,750598.2333,7646000.441,1725,1246,1176.979374,5,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB9,748575.9839,7649490.621,1280,11,51,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,NA,NA
CVB10,749290.9199,7650073.359,2000,922,378.7537347,20,NA,1,4,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
CVB11,749833.3416,7650788.501,2726,1810,1189.850936,7.14,NA,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB12,749649.2184,7651582.102,2949,2349,1688.493525,5.56,NA,1,1,3,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,NA,NA,NA
CVB13,749772.2881,7651706.394,3123,2482,1856.054346,5.56,NA,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB14,752208.5897,7647153.991,1110,608,497.3880822,10,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB15,750917.1201,7648270.3,700,435,409.3529438,26.67,NA,1,1,1,3,NA,NA,2,1,1,1,3,1,1,1,1,1,1,1,1,NA,NA,NA
CVB16,750278.1887,7649689.363,2211,1931,733.8070395,11.11,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
CVB17,750306.3355,7651535.172,3463,2683,1922.119313,0,NA,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB18,750441.646,7650948.469,3056,2927,1396.412734,5.56,NA,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,NA,NA,NA
CVB19,752670.963,7647363.613,1178,295,79.93915054,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB20,750356.0395,7646630.7,1300,653,619.9099279,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,NA
CVB21,751847.024,7649475.931,1183,1215,88.82726213,5,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
CVB22,752306.0012,7650212.386,1903,1985,462.0122424,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CVB23,752173.8689,7651119.641,2800,2858,1212.312156,0,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,3,1,1,NA,NA
