"","V1","V2","V3","V4","V5","V6"
"CT-RNF-1-01",53,93,97,95,76,117
"CT-RNF-1-02",53,93,97,126,76,117
"CT-RNF-1-03",53,93,97,95,95,117
"CT-RNF-1-04",53,93,97,95,76,117
"CT-RNF-1-05",54,92,115,95,95,117
"CT-RNF-1-06",64,92,96,95,74,117
"CT-RNF-1-07",53,92,96,95,74,117
"CT-RNF-1-08",84,92,96,102,74,117
"CT-RNF-1-09",53,93,97,96,76,117
"CT-RNF-1-10",53,93,97,95,76,117
"CT-RNF-1-11",59,93,127,94,76,117
"CT-RNF-1-12",67,92,96,95,74,117
"CT-RNF-1-13",53,92,96,95,74,117
"CT-RNF-1-14",53,92,96,95,74,117
"CT-RNF-1-15",54,92,96,95,74,117
"CT-RNF-1-16",53,125,97,95,76,117
"CT-RNF-1-17",55,94,97,95,76,117
"CT-RNF-1-18",54,92,96,126,74,117
"CT-RNF-1-19",84,92,96,95,74,117
"CT-RNF-1-20",53,106,121,95,84,117
"CT-RNF-2-01",56,92,96,102,73,86
"CT-RNF-2-02",55,92,96,95,73,86
"CT-RNF-2-03",55,92,96,95,106,86
"CT-RNF-2-04",55,92,96,95,73,86
"CT-RNF-2-05",55,92,96,95,105,86
"CT-RNF-2-06",55,92,96,95,106,86
"CT-RNF-2-07",56,92,96,97,73,86
"CT-RNF-2-08",55,107,96,95,73,86
"CT-RNF-2-09",55,92,96,95,73,86
"CT-RNF-2-10",55,92,96,102,73,86
"CT-RNF-2-11",53,92,97,107,73,86
"CT-RNF-2-12",53,92,97,95,73,86
"CT-RNF-2-13",53,92,99,95,73,86
"CT-RNF-2-14",53,92,101,119,105,101
"CT-RNF-2-15",53,92,97,101,73,86
"CT-RNF-2-16",53,92,97,110,73,86
"CT-RNF-2-17",53,96,97,95,73,86
"CT-RNF-2-18",53,92,97,120,73,86
"CT-RNF-2-19",53,92,97,95,73,86
"CT-RNF-2-20",53,92,97,95,75,86
"CT-RNF-3-01",56,93,97,95,75,86
"CT-RNF-3-02",54,93,97,98,74,86
"CT-RNF-3-03",57,93,104,111,81,86
"CT-RNF-3-04",60,93,99,98,106,86
"CT-RNF-3-05",54,93,97,98,74,86
"CT-RNF-3-06",57,93,97,97,74,86
"CT-RNF-3-07",59,93,97,102,74,86
"CT-RNF-3-08",61,93,97,117,106,88
"CT-RNF-3-09",54,93,97,98,74,86
"CT-RNF-3-10",59,93,97,123,74,90
"CT-RNF-3-11",53,93,97,95,74,87
"CT-RNF-3-12",53,93,98,95,105,86
"CT-RNF-3-13",53,93,97,95,74,86
"CT-RNF-3-14",53,93,97,95,106,91
"CT-RNF-3-15",53,93,97,95,74,86
"CT-RNF-3-16",53,93,97,95,74,89
"CT-RNF-3-17",53,93,97,95,74,91
"CT-RNF-3-18",53,93,128,94,74,86
"CT-RNF-3-19",60,93,97,95,74,95
"CT-RNF-3-20",53,93,97,94,74,91
