"","Occ 1","Occ 2","Occ 3","Occ 4","Occ 5","Occ 6","Occ 7","Occ 8","Occ 9","Occ 10","Occ 11","Occ 12","Occ 13","Occ 14"
"3AJB 1","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 2","1","1","1","1","1","1","1","2","1","1","1",NA,NA,NA
"3AJB 3","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 4","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 5","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 6","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 7","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 8","1","1","1","3","1","1",NA,NA,NA,"1","1",NA,NA,NA
"3AJB 9","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3AJB 10","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 11","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 12","1","1","1","1","1","1","1","1","1","1","1",NA,NA,NA
"3AJB 13","1","2","1","1","1","1","3","1","1","1","1",NA,NA,NA
"3AJB 14","1","1","2","3","1","1","1","3","1","1","1",NA,NA,NA
"3AJB 15","1","1","1","1","1","1","1","1","1","2","1",NA,NA,NA
"3AJB 16","1","1","1","1","1","1","1","3","4","1","3",NA,NA,NA
"3AJB 17","1","1","1","1","1","1","1","1",NA,"1","1",NA,NA,NA
"3AJB 18","1","1","1",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA
"3AJB 19","1","1","1","1","1","1","1","1","1","1",NA,NA,NA,NA
"3AJB 20","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"3AJB 21","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"3AJB 22","3","1","1","1","1","1","3","3","1","3","1",NA,NA,NA
"3AJB 23","1","1","1","1","1","1","1","1","1","1","1","1",NA,NA
"3AJB 24","1","1","1","1","3","1","1","1","1","1","1","1",NA,NA
