"","Occ 1","Occ 2","Occ 3","Occ 4","Occ 5","Occ 6","Occ 7","Occ 8","Occ 9","Occ 10"
"6AJB 1","1","1","1","1","1","1","1","1","1","1"
"6AJB 2","3","3","3","1","1","1","1","1","1","1"
"6AJB 3","1","1","1","1","1","1","1","1","1","1"
"6AJB 4","1","1","1","1","1","3","3","1","1",NA
"6AJB 5","1","1","1","1","1","1","1","1","1","1"
"6AJB 6","3","1","1","1","1","1","1","1","1","1"
"6AJB 7","1","3","1","1","1","1","1","1","1","1"
"6AJB 8","1","1","1","1","1","1","1","1","1","1"
"6AJB 9","2","1","1","1","1","1","1","1","1","1"
"6AJB 10","1","1","1","1","1","1","1","1","1","1"
"6AJB 11","1","1","1","1","1","1","1",NA,NA,NA
"6AJB 12","1","1","1","2","1","1","1","1","1","1"
"6AJB 13","1","3","3","1","1","1","1","1","1","1"
"6AJB 14","1","1","1","1","1","1","1","1","1","1"
"6AJB 15","1","1","1","1","1","1","3","1","1","1"
"6AJB 16","1","1","1","1","1","1","1","1","1","1"
"6AJB 17","1","3","1","3","1","1","1","1","1","1"
"6AJB 18","1","1","1","1","1","1","1","1","1","1"
"6AJB 19","1","1","1","1","1","1","1","1","1","1"
"6AJB 20","1","1","1","1","1","1","1","1","1","1"
"6AJB 21","1","4","3","1","1","1","2","1","1","1"
"6AJB 22","1","1","1","1","1","1","1","1","1","1"
"6AJB 23","1","2","1","1","3","4","3","3","2","1"
"6AJB 24","2","1","1","1","1","1","1","1","1","1"
