"","Human Events (HE)","Trap Nights (TN)","HE / TN","Day HE / TN","Night HE / TN","Mean HE/ TN"
"6AJB01",1,56,0.0178571428571429,0.0178571428571429,0,0.0178571428571429
"6AJB02",1,54,0.0185185185185185,0.0185185185185185,0,0.0185185185185185
"6AJB03",1,56,0.0178571428571429,0.0178571428571429,0,0.0178571428571429
"6AJB04",4,53,0.0754716981132075,0.0754716981132075,0,0.0943396226415094
"6AJB07",2,54,0.037037037037037,0.037037037037037,0,0.037037037037037
"6AJB09",1,59,0.0169491525423729,0.0169491525423729,0,0.0169491525423729
"6AJB10",2,58,0.0344827586206897,0.0344827586206897,0,0.0517241379310345
"6AJB11",1,40,0.025,0.025,0,0.025
"6AJB12",1,55,0.0181818181818182,0.0181818181818182,0,0.0181818181818182
"6AJB13",1,55,0.0181818181818182,0.0181818181818182,0,0.0181818181818182
"6AJB15",36,56,0.642857142857143,0.642857142857143,0.0178571428571429,1.28571428571429
"6AJB16",2,57,0.0350877192982456,0.0350877192982456,0,0.0350877192982456
"6AJB17",4,58,0.0689655172413793,0.0689655172413793,0,0.120689655172414
"6AJB20",1,56,0.0178571428571429,0.0178571428571429,0,0.0178571428571429
"6AJB22",2,55,0.0363636363636364,0.0363636363636364,0,0.0363636363636364
"6AJB24",2,57,0.0350877192982456,0.0350877192982456,0,0.0350877192982456
